   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
100,365783,2121,2245, ,E,WASHINGTON,BLVD, ,90021,1/22/16,2/1/16,2/22/16,Y,2,118-5A217  88,ILUSE,Central,710557,6,34.01910,-118.23161
101,365855,3124,6038, ,N,DENNY,AVE, ,91606,1/24/16,1/29/16,2/22/16,N,2,177B177   511,ILUSE,South Valley,,4,34.18049,-118.36471
102,365918,2133,1802, ,W,12TH,PL, ,90006,1/25/16,2/3/16,2/23/16,N,2,129A203   358,ILUSE,Central,,7,34.04653,-118.27925
103,365937,3123,11356, ,N,ACALA,AVE, ,91340,1/25/16,1/27/16,2/23/16,N,2,213B149   732,ILUSE,North Valley,,2,34.27703,-118.44902
104,365910,2131,417, ,W,MT WASHINGTON,DR, ,90065,1/25/16,1/26/16,2/23/16,Y,2,147A221   282,ILUSE,East Los Angeles,709854,1,34.09551,-118.21445
105,365919,3121,11252, ,W,OSBORNE,ST, ,91342,1/25/16,1/26/16,2/23/16,N,2,213B173   348,ILUSE,North Valley,,1,34.27803,-118.37650
106,366125,2142,1954, ,N,REDESDALE,AVE, ,90039,1/25/16,1/26/16,2/23/16,N,2,145-5A207  29,ILUSE,East Los Angeles,,1,34.09443,-118.26668
107,365886,1142,24734, ,S,SEAGROVE,AVE, ,90744,1/25/16,2/29/16,2/23/16,Y,2,039B209   246,ILUSE,Harbor,712915,25,33.80102,-118.25883
108,365935,1102,3906, ,S,TIVOLI,AVE, ,90066,1/25/16,1/26/16,2/23/16,N,2,108B153    51,ILUSE,West Los Angeles,,1,33.99558,-118.44241
109,365888,2103,946, ,S,VICTORIA,AVE, ,90019,1/25/16,1/26/16,2/23/16,N,2,132B189   985,ILUSE,Central,,1,34.05545,-118.32379
110,365963,2133,1802, ,W,12TH,PL, ,90006,1/26/16,2/3/16,2/24/16,N,2,129A203   358,ILUSE,Central,,6,34.04653,-118.27925
111,366015,1122,1277, ,E,49TH,ST, ,90011,1/26/16,1/28/16,2/24/16,Y,2,111A211   160,ILUSE,South Los Angeles,710040,2,33.99903,-118.25249
112,366018,1112,1926, ,W,ADAMS,BLVD, ,90018,1/26/16,1/28/16,2/24/16,N,2,123B193   633,ILUSE,South Los Angeles,,2,34.03251,-118.30697
113,365999,2111,218, ,S,ALTA VISTA,BLVD, ,90036,1/26/16,2/2/16,2/24/16,N,2,138B181  1337,ILUSE,Central,,5,34.07052,-118.34727
114,365980,3123,13333, ,N,GLENOAKS,BLVD, ,91342,1/26/16,1/26/16,2/24/16,Y,2,225B149   240,ILUSE,North Valley,709746,0,34.31377,-118.45808
115,365992,2120,2331, ,N,LEVANDA,AVE, ,90032,1/26/16,1/28/16,2/24/16,Y,2,138A235   160,ILUSE,East Los Angeles,710251,2,34.07268,-118.16886
116,366044,1122,3433, ,S,MCKINLEY,AVE, ,90011,1/26/16,2/1/16,2/24/16,Y,2,115-5A207  53,ILUSE,South Los Angeles,710215,4,34.01235,-118.26065
117,366013,1142,1330, ,E,ROBIDOUX,ST, ,90744,1/26/16,2/29/16,2/24/16,Y,2,033B213   142,ILUSE,Harbor,712916,24,33.78837,-118.24685
118,366042,2121,837, ,E,TRACTION,AVE, ,90013,1/26/16,2/2/16,2/24/16,N,2,127-5A215  81,ILUSE,Central,,5,34.04476,-118.23470
119,366058,2102,1336, ,N,FAIRFAX,AVE, ,90046,1/27/16,1/27/16,2/25/16,N,2,147B177  1347,ILUSE,Central,,0,34.09552,-118.36135
120,366093,1124,810, ,W,SLAUSON,AVE, ,90044,1/27/16,2/8/16,2/25/16,N,2,108B197  1448,ILUSE,South Los Angeles,,8,33.98895,-118.28769
121,366116,2103,100, ,N,ARDEN,BLVD, ,90004,1/28/16,1/29/16,2/26/16,Y,2,138B189   977,ILUSE,Central,711203,1,34.07321,-118.32583
